i_id,商品名称,sku_id,sku名称,规格属性,条码,成本价,售价,重量(kg),长(cm),宽(cm),高(cm),库存数量,品牌,供应商,标签,类目,图片URL,状态,来源接口
N210509-Z02,咪咪眼睛-左,N210509-Z02S28,咪咪眼睛-左,雅丹黑,,,,,,,,,,,补发部件,半成品类 - 注塑部件,,启用,sku_query
N210601-C,围栏游戏板,N210601-CS06,围栏游戏板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210602-C,围栏小板,N210602-CS05,围栏小板,星海蓝,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210603-C,围栏屋顶板,N210603-CS06,围栏屋顶板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210604-C,围栏秋千屋顶板,N210604-CS06,围栏秋千屋顶板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210605-C,围栏挡板,N210605-CS06,围栏挡板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210606-C,围栏平台板,N210606-CS06,围栏平台板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210607-C,围栏大屋顶折叠板,N210607-CS06,围栏大屋顶折叠板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210608-C,围栏小屋顶折叠板,N210608-CS06,围栏小屋顶折叠板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210609-C01,围栏门框,N210609-C01S06,围栏门框,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210609-C02,围栏游戏板-舵盘,N210609-C02S06,围栏游戏板-舵盘,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210609-C03,围栏游戏板-滑块,N210609-C03S05,围栏游戏板-滑块,星海蓝,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210609-C04,围栏游戏板-星星盘,N210609-C04S05,围栏游戏板-星星盘,星海蓝,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210609-C05,围栏游戏板-圆盘,N210609-C05S05,围栏游戏板-圆盘,星海蓝,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210610-C,围栏滑梯折叠板,N210610-CS06,围栏滑梯折叠板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210612-C,围栏注水壶,N210612-CS07,围栏注水壶,丹霞橙,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
